File Name: 0:\GARMIN\EVNTLOGS/0000001D.TXT


>>>>> EVL_CURR_LOGS <<<<<

verNum:     8/13/2014 (00)
ownerID:    00000002
OwnerName:  HWM
status:     01
pri_thresh:  4
archived:   00
max_arch:   00
num_recs:   80
rec_size:   40
next_evnt:  4F
timeDay:    2018/ 2/ 9 18:35:12 
cycle_cnt:  7

77: D3 10 00 00 317:05:27.278 HWM main (Loc:2018/ 2/ 4  4:25:12 ) (UTC:2018/ 2/ 4  3:25:12 ) D:1
78: D3 10 00 00 317:05:55.993 HWM main (Loc:2018/ 2/ 4  4:25:41 ) (UTC:2018/ 2/ 4  3:25:41 ) D:1
79: D3 10 00 00 317:06:14.462 HWM main (Loc:2018/ 2/ 4  4:25:59 ) (UTC:2018/ 2/ 4  3:25:59 ) D:1
7A: D3 10 00 00 317:06:48.589 HWM main (Loc:2018/ 2/ 4  4:26:33 ) (UTC:2018/ 2/ 4  3:26:33 ) D:1
7B: D3 10 00 00 317:07:16.020 HWM main (Loc:2018/ 2/ 4  4:27:01 ) (UTC:2018/ 2/ 4  3:27:01 ) D:1
7C: D3 10 00 00 317:07:36.660 HWM main (Loc:2018/ 2/ 4  4:27:21 ) (UTC:2018/ 2/ 4  3:27:21 ) D:1
7D: D3 10 00 00 317:09:21.202 HWM main (Loc:2018/ 2/ 4  4:29:06 ) (UTC:2018/ 2/ 4  3:29:06 ) D:1
7E: D3 10 00 00 317:09:41.983 HWM main (Loc:2018/ 2/ 4  4:29:27 ) (UTC:2018/ 2/ 4  3:29:27 ) D:1
7F: D3 10 00 00 317:10:24.811 HWM main (Loc:2018/ 2/ 4  4:30:10 ) (UTC:2018/ 2/ 4  3:30:10 ) D:1
00: D3 10 00 00 317:11:09.710 HWM main (Loc:2018/ 2/ 4  4:30:54 ) (UTC:2018/ 2/ 4  3:30:54 ) D:1
01: D3 10 00 00 317:12:23.548 HWM main (Loc:2018/ 2/ 4  4:32:08 ) (UTC:2018/ 2/ 4  3:32:08 ) D:1
02: D3 10 00 00 317:14:08.565 HWM main (Loc:2018/ 2/ 4  4:33:53 ) (UTC:2018/ 2/ 4  3:33:53 ) D:1
03: D3 10 00 00 317:15:10.760 HWM main (Loc:2018/ 2/ 4  4:34:55 ) (UTC:2018/ 2/ 4  3:34:55 ) D:1
04: D3 10 00 00 317:17:58.152 HWM main (Loc:2018/ 2/ 4  4:37:43 ) (UTC:2018/ 2/ 4  3:37:43 ) D:1
05: D3 10 00 00 317:18:56.768 HWM main (Loc:2018/ 2/ 4  4:38:41 ) (UTC:2018/ 2/ 4  3:38:41 ) D:1
06: D3 10 00 00 317:20:07.876 HWM main (Loc:2018/ 2/ 4  4:39:53 ) (UTC:2018/ 2/ 4  3:39:53 ) D:1
07: D3 10 00 00 317:20:38.476 HWM main (Loc:2018/ 2/ 4  4:40:23 ) (UTC:2018/ 2/ 4  3:40:23 ) D:1
08: D3 10 00 00 317:21:32.781 HWM main (Loc:2018/ 2/ 4  4:41:17 ) (UTC:2018/ 2/ 4  3:41:17 ) D:1
09: D3 10 00 00 317:33:45.548 HWM main (Loc:2018/ 2/ 4  4:53:30 ) (UTC:2018/ 2/ 4  3:53:30 ) D:1
0A: D3 10 00 00 317:36:39.672 HWM main (Loc:2018/ 2/ 4  4:56:24 ) (UTC:2018/ 2/ 4  3:56:24 ) D:1
0B: D3 10 00 00 317:41:07.135 HWM main (Loc:2018/ 2/ 4  5:00:52 ) (UTC:2018/ 2/ 4  4:00:52 ) D:1
0C: D3 10 00 00 317:51:15.105 HWM main (Loc:2018/ 2/ 4  5:11:00 ) (UTC:2018/ 2/ 4  4:11:00 ) D:1
0D: D3 10 00 00 318:45:25.270 HWM main (Loc:2018/ 2/ 4  6:05:10 ) (UTC:2018/ 2/ 4  5:05:10 ) D:1
0E: D3 10 00 00 318:49:14.572 HWM main (Loc:2018/ 2/ 4  6:08:59 ) (UTC:2018/ 2/ 4  5:08:59 ) D:1
0F: D3 10 00 00 319:01:55.172 HWM main (Loc:2018/ 2/ 4  6:21:40 ) (UTC:2018/ 2/ 4  5:21:40 ) D:1
10: D3 10 00 00 319:35:01.579 HWM main (Loc:2018/ 2/ 4  6:54:46 ) (UTC:2018/ 2/ 4  5:54:46 ) D:1
11: D3 10 00 00 320:19:05.759 HWM main (Loc:2018/ 2/ 4  7:38:50 ) (UTC:2018/ 2/ 4  6:38:50 ) D:1
12: D3 10 00 00 320:22:39.403 HWM main (Loc:2018/ 2/ 4  7:42:24 ) (UTC:2018/ 2/ 4  6:42:24 ) D:1
13: D3 10 00 00 320:25:02.325 HWM main (Loc:2018/ 2/ 4  7:44:47 ) (UTC:2018/ 2/ 4  6:44:47 ) D:1
14: D3 10 00 00 320:53:01.486 HWM main (Loc:2018/ 2/ 4  8:12:46 ) (UTC:2018/ 2/ 4  7:12:46 ) D:1
15: D3 10 00 00 320:56:03.973 HWM main (Loc:2018/ 2/ 4  8:15:49 ) (UTC:2018/ 2/ 4  7:15:49 ) D:1
16: D3 10 00 00 320:58:35.343 HWM main (Loc:2018/ 2/ 4  8:18:20 ) (UTC:2018/ 2/ 4  7:18:20 ) D:1
17: D3 10 00 00 320:59:14.279 HWM main (Loc:2018/ 2/ 4  8:18:59 ) (UTC:2018/ 2/ 4  7:18:59 ) D:1
18: D3 10 00 00 321:36:36.585 HWM main (Loc:2018/ 2/ 4  8:56:21 ) (UTC:2018/ 2/ 4  7:56:21 ) D:1
19: D3 10 00 00 321:51:04.731 HWM main (Loc:2018/ 2/ 4  9:10:49 ) (UTC:2018/ 2/ 4  8:10:49 ) D:1
1A: D3 10 00 00 321:56:28.257 HWM main (Loc:2018/ 2/ 4  9:16:13 ) (UTC:2018/ 2/ 4  8:16:13 ) D:1
1B: D3 10 00 00 321:57:10.121 HWM main (Loc:2018/ 2/ 4  9:16:55 ) (UTC:2018/ 2/ 4  8:16:55 ) D:1
1C: D3 10 00 00 321:58:21.206 HWM main (Loc:2018/ 2/ 4  9:18:06 ) (UTC:2018/ 2/ 4  8:18:06 ) D:1
1D: D3 10 00 00 322:18:17.707 HWM main (Loc:2018/ 2/ 4  9:38:02 ) (UTC:2018/ 2/ 4  8:38:02 ) D:1
